name,artist,videoID,emotion
バイ・マイ・サイ,RADWIMPS,BIfY2s2A4IU,sad
サイレント・イヴ,Midori Karashima,cknuQVvF05o,sad
虹の彼方に,ReoNa,QtXNvoPfO84,sad
Forever Love,X JAPAN,5fqnfiwBfIo,sad
贖罪,傘村トータ,j1ArobXFdyQ,sad
Squall,松本英子,GosmxY04_G0,sad
Missing,Toshinobu Kubota,10vkpd2-wEk,sad
桜 '09ヴァージョン,Kyogo Kawaguchi,X7LTWS3hvMs,sad
勿忘,Awesome City Club,zkZARKFuzNQ,sad
どこまでも 〜How Far I'll Go〜,モアナ(屋比久知奈),Xz5tOyOafVc,sad
True Love's Kiss - Japanese Version,MC Kids,N_tCF2ZNsQY,sad
Go The Distance,Fumiya Fujii,5xhDdTiHKoE,sad
桜,KOBUKURO,Dsdxxrnz1AQ,sad
LOOP,SIRUP,NEoFGaixiC8,sad
The Bells of Notre Dame - Japanese Version,Akihiko Mitsueda,vw5DvrduiVU,sad
PIECE OF MY WISH,Miki Imai,EflkJbmLzk8,sad
I Will Go Sailing No More - Japanese Version,Diamond Yukai,QGNdyv2mUq8,sad
ただ・・・逢いたくて,EXILE,cGIiYhxZ4CE,sad
遥か,GReeeeN,im2b4ZVwjzY,sad
変わらないもの,Hanako Oku,Lq2-HHP04jM,sad
さくら - 独唱,Naotaro Moriyama,p_2F2lKV9uA,sad
ひまわりの約束,Motohiro Hata,rKsQ-3N-Bks,sad
歌うたいのバラッド,Kazuyoshi Saito,9G82-cb5zUk,sad
友 ~旅立ちの時~,YUZU,WgAhMfhdZ4c,sad
Tomorrow never knows,Mr.Children,Nxwt_s1lM04,sad
napori,Vaundy,ZeIGVnkYX04,sad
ヒトリ,かりん,dOt5uuBrSWU,sad
雪の華,Mika Nakashima,mF5Qq2YheTg,sad
蕾(つぼみ),KOBUKURO,WPH1BLHKOJE,sad
栄光の架橋,YUZU,PRJoAPH0ZGo,sad
栄光の架橋,YUZU,PRJoAPH0ZGo,sad
"カラー・オブ・ザ・ウィンド - from ""ポカホンタス""",Yuko Doi,fX-XQnzhmjg,sad
Let It Go - Japanese Version,Takako Matsu,84jjnI6M2UI,sad
Circle of Life/Nants' Ingonyama,Miwa Sugai,CF-c1K3WWg4,sad
"これが恋かしら - from ""シンデレラ""",板橋亜美,7ouhwql6Vp4,sad
また君に会える日,Shion Miyawaki,HUFE6pLt6DY,sad
10月無口な君を忘れる,あたらよ,zO8yNYEsYTc,sad
桜坂,Masaharu Fukuyama,AGYJ6jeu3p8,sad
Belle - Japanese Version,Eri Ito,lhUi-UV7wJo,sad
また逢う日まで,HIRAIDAI,SQcq990N5NY,sad
想無,えぬ,e-VX84RMteg,sad
So Close - Japanese Version,Noriyuki Konishi,BrZoP3rX-sM,sad
明けない夜のリリィ,傘村トータ,-Y99kjXi2SE,sad
桜坂,Masaharu Fukuyama,AGYJ6jeu3p8,sad
Beauty and the Beast - Japanese Version,POPURA,fRJtgwCERcE,sad
春の歌,SAKURA FUJIWARA,94uxNQqmknk,sad
First Day,Thomas Newman,n7rE-Wlo5wg,sad
未来,KOBUKURO,VySmuia_K-k,sad
三日月,ayaka,wHw6W4BznTM,sad
ひまわりの約束,Motohiro Hata,rKsQ-3N-Bks,sad
Answer,Lilas Ikuta,fmDB-HyPNYc,sad
Beauty and the Beast,Natsumi Kon,axySrE0Kg6k,sad
桜坂,Masaharu Fukuyama,AGYJ6jeu3p8,sad
Get Along Together -愛を贈りたいから- (Re-Mix),Yasuhiro Yamane,Ay8AMiG10_s,sad
蕾(つぼみ),KOBUKURO,WPH1BLHKOJE,sad
桜,KOBUKURO,Dsdxxrnz1AQ,sad
Can You Feel The Love Tonight,Yoko Kadoyama,KjgWWjkNbhU,sad
ひだまりの詩,Le Couple,kdEb-16-nyo,sad
Best Friend,Kiroro,_xJUCsyMQes,sad
"ビビディ・バビディ・ブー - from ""シンデレラ""",伊集加代子,ZmTsdafCeRY,sad
I Won't Say (I'm in Love) / Shizuka Kudo,Shizuka Kudo,kUHtZLfgGvo,sad
明日への手紙,Aoi Teshima,ytQ3Hs3WjQ4,sad
"A Whole New World - From ""Aladdin""",Tomoya Nakamura,eitDnP0_83k,sad
さくら（独唱）,Naotaro Moriyama,p_2F2lKV9uA,sad
裸の心,Aimyon,yOAwvRmVIyo,sad
Can You Feel the Love Tonight - Japanese Version,Yuji Mitsuya,qIWWB2OMHPU,sad
いのちの名前,Ayaka Hirahara,kHIu-nXWGaI,sad
ひまわりの約束,Motohiro Hata,rKsQ-3N-Bks,sad
依存、やめた。,Matsuri,9iGtbnQ1RFE,sad
Pale Blue,Kenshi Yonezu,7WZ1Kt3zraY,sad
Circle of Life - Japanese Version,Yukari Miyasono,igfxwFVFl7A,sad
桜,Kyogo Kawaguchi,Dsdxxrnz1AQ,sad
Belle,Natsumi Kon,tTUZswZHsWQ,sad
会いたい,Chikako Sawada,Egy8RZKxC5k,sad
LOVE LOVE LOVE,DREAMS COME TRUE,Vj6OAlDgv9M,sad
Hikari,androp,L8u_DVYz2sE,sad
10月無口な君を忘れる,あたらよ,zO8yNYEsYTc,sad
シングルベッド,Sharam Q,UYXNA54dDKs,sad
PRIDE,Miki Imai,7fwYjU7m8pw,sad
TRUE LOVE,Fumiya Fujii,Szor6IDHGMg,sad
LOVE～Destiny～,Ayumi Hamasaki,hqnpYqmCTpI,sad
ひだまりの詩,Le Couple,kdEb-16-nyo,sad
I LOVE YOU,Yutaka Ozaki,NmB9Rq1yVmo,sad
あなたのキスを数えましょう 〜You were mine〜,Yuki Koyanagi,vhSng8rgOw4,sad
95 Project (Reprise),LEX,FZW_F8XYOtA,sad
遥か,GReeeeN,im2b4ZVwjzY,sad
First Love,Hikaru Utada,o1sUaVJUeB0,sad
海の声,Taro Urashima,-zQWavER7to,sad
さくら - 独唱,Naotaro Moriyama,p_2F2lKV9uA,sad
Summer,Joe Hisaishi,l0GN40EL1VU,sad
Go The Distance - Japanese Version,Jyun Akiyama,Qdr6mbh0KJw,sad
You've Got a Friend in Me - Japanese Version,Diamond Yukai,4ikFGSSwe04,sad
ただいま,Aoi Teshima,0IueDUcDmRY,sad
花に亡霊,ヨルシカ,9lVPAWLWtWc,sad
LOVE LOVE LOVE,DREAMS COME TRUE,Vj6OAlDgv9M,sad
少年時代 - Remastered 2018,Yosui Inoue,ZWBs3oBw4qk,sad
3月の帰り道,HIRAIDAI,UHKFm9HoUio,sad
家族になろうよ,Masaharu Fukuyama,vrkbf9CVkn4,sad
好きにさせた癖に,あれくん,w5uJEecsDa8,sad
Be Our Guest - Japanese Version,POPURA,L9JFD3qGQ4I,sad
ENDLESS STORY,REIRA starring Yuna Ito,xuut-F4Wjzc,sad
裸の心,Aimyon,yOAwvRmVIyo,sad
Arabian Nights - Japanese Version,Shinya Miura,8jBbNHBhzwQ,sad
花に亡霊,ヨルシカ,9lVPAWLWtWc,sad
ファーストラヴ,Uru,t5J0hmoF8ss,sad
桜恋,もさを。,DqbU4rz6fyc,sad
未来予想図Ⅱ,DREAMS COME TRUE,nGl2la0Q6LA,sad
ハナミズキ,Yo Hitoto,TngUo1gDNOg,sad
Do You Want to Build a Snowman? - Japanese Version,Sayaka Kanda,XqXfHBSoAVQ,sad
地球儀 - Spinning Globe,Kenshi Yonezu,VUsURj_OYdA,sad
ここにしか咲かない花,KOBUKURO,GCx-zSwQNb4,sad
三日月,ayaka,wHw6W4BznTM,sad
未来へ,Kiroro,OZ3UuZdUHZc,sad
Tomorrow never knows,Mr.Children,Nxwt_s1lM04,sad
PIECE OF MY WISH,Miki Imai,EflkJbmLzk8,sad
First Love,Hikaru Utada,o1sUaVJUeB0,sad
蕾(つぼみ),KOBUKURO,WPH1BLHKOJE,sad
蕾(つぼみ),KOBUKURO,WPH1BLHKOJE,sad
未来,KOBUKURO,VySmuia_K-k,sad
A Whole New World - Japanese Version,Kazutaka Ishii,an-BjoFhluw,sad
涙そうそう,Rimi Natsukawa,5TR1wJCimyk,sad
Out There - Japanese Version,Toshihide Mura,b5HtahaFflc,sad
栄光の日々,Michael Giacchino,AUFScdzCuRk,sad
ハナミズキ,Yo Hitoto,TngUo1gDNOg,sad
"Reflection - From ""Mulan""",Eri Ito,RNprQYHenNI,sad
三日月,ayaka,wHw6W4BznTM,sad
I See the Light - Japanese Version,Hiroshi Hatanaka,ETepofyTh_I,sad
栄光の架橋,YUZU,PRJoAPH0ZGo,sad
LOVE LOVE LOVE,DREAMS COME TRUE,Vj6OAlDgv9M,sad
peaceful youth,cocuri,5L4HixoNwtw,sad
Something There,Natsumi Kon,R-GoD0rmegE,sad
花束のかわりにメロディーを,Shota Shimizu,L1D_hLw4AA4,sad
366日,HY,glsH4Mgxz-g,sad
Part Of Your World,MAYUMI SUZUKI,SXKlJuO07eM,sad
No Way Out - Japanese Version,Phil Collins,cmgDfamta_w,sad
て,上野大樹,RI6hKIaGZJ4,sad
I LOVE YOU,Yutaka Ozaki,9d4-lgpbwoA,sad
OH MY LITTLE GIRL,Yutaka Ozaki,XrOvHNIi2rg,sad
When She Loved Me - Japanese Version,Risa Ohki,FM8pXSJ0jHc,sad
Let Go (feat. 柊人),CHICO CARLITO,JZSeMSFY-uw,sad
PRIDE,Miki Imai,YdnrmS1h14A,sad
手紙 〜拝啓 十五の君へ〜,Angela Aki,erGCAu_hFqM,sad
Remember Me (Lullaby) - Japanese Version,Naohito Fujiki,KP_XkN2v7OM,sad
トイレの神様,Kana Uemura,Z2VoEN1iooE,sad
部屋とYシャツと私,Eri Hiramatsu,re3PzspwEWo,sad
エイリアンズ,KIRINJI,w05Q_aZKkFw,sad
モアナ,タラおばあちゃん(夏木マリ),Xz5tOyOafVc,sad
正解 - 18FES ver.,RADWIMPS,xKjFYKWCDas,sad
When Will My Life Begin - Japanese Version,Mari Okonogi,x0kz6C8Hai0,sad
桜坂,Masaharu Fukuyama,AGYJ6jeu3p8,sad
Voyage,Ayumi Hamasaki,aRKhpLR8EgI,sad
三文小説,King Gnu,Y8HeOA95UzQ,sad
killer tune kills me,KIRINJI,Y36b8_WFejI,sad
